sid,report
1264,http://mops.twse.com.tw/nas/STR/126420230417M001.pdf
4401,http://mops.twse.com.tw/nas/STR/440120221011M001.pdf
8454,http://mops.twse.com.tw/nas/STR/845420230526M001.pdf
2303,http://mops.twse.com.tw/nas/STR/230320230426M001.pdf
3189,http://mops.twse.com.tw/nas/STR/318920230517M004.pdf
1580,http://mops.twse.com.tw/nas/STR/158020230413M001.pdf
3169,http://mops.twse.com.tw/nas/STR/316920211116M001.pdf
2929,http://mops.twse.com.tw/nas/STR/292920230328M001.pdf
6488,http://mops.twse.com.tw/nas/STR/648820230516M001.pdf
5222,http://mops.twse.com.tw/nas/STR/522220221222M001.pdf
4558,http://mops.twse.com.tw/nas/STR/455820220216M001.pdf
4426,http://mops.twse.com.tw/nas/STR/442620221223M001.ppt
5274,http://mops.twse.com.tw/nas/STR/527420230330M001.pdf
3426,http://mops.twse.com.tw/nas/STR/342620220817M001.pdf
1590,http://mops.twse.com.tw/nas/STR/159020230509M003.pdf
6509,http://mops.twse.com.tw/nas/STR/650920220824M001.pdf
4966,http://mops.twse.com.tw/nas/STR/496620230518M001.pdf
3035,http://mops.twse.com.tw/nas/STR/303520230425M001.pdf
5471,http://mops.twse.com.tw/nas/STR/547120230510M001.pdf
5903,http://mops.twse.com.tw/nas/STR/590320230504M002.pdf
9802,http://mops.twse.com.tw/nas/STR/980220230426M001.pdf
4919,http://mops.twse.com.tw/nas/STR/491920230508M001.pdf
8066,http://mops.twse.com.tw/nas/STR/806620221111M001.pdf
6182,http://mops.twse.com.tw/nas/STR/618220230410M001.pdf
6457,http://mops.twse.com.tw/nas/STR/645720211116M001.pdf
6803,http://mops.twse.com.tw/nas/STR/680320230509M001.pdf
3016,http://mops.twse.com.tw/nas/STR/301620220922M001.pdf
5604,http://mops.twse.com.tw/nas/STR/560420220804M001.pdf
1219,http://mops.twse.com.tw/nas/STR/121920220830M001.pdf
1256,http://mops.twse.com.tw/nas/STR/125620221209M001.pdf
6129,http://mops.twse.com.tw/nas/STR/612920230314M001.pptx
3556,http://mops.twse.com.tw/nas/STR/355620221116M001.pdf
9951,http://mops.twse.com.tw/nas/STR/995120221216M001.pdf
4549,http://mops.twse.com.tw/nas/STR/454920230525M001.pdf
6287,http://mops.twse.com.tw/nas/STR/628720221219M001.pdf
6257,http://mops.twse.com.tw/nas/STR/625720220830M001.pdf
3686,http://mops.twse.com.tw/nas/STR/368620221221M001.pptx
4205,http://mops.twse.com.tw/nas/STR/420520220927M001.pdf
8928,http://mops.twse.com.tw/nas/STR/892820220330M001.pdf
1599,http://mops.twse.com.tw/nas/STR/159920221223M001.pdf
5306,http://mops.twse.com.tw/nas/STR/530620230515M001.pdf
2458,NA
2351,http://mops.twse.com.tw/nas/STR/235120230511M001.pdf
2338,http://mops.twse.com.tw/nas/STR/233820230307M001.pdf
8938,http://mops.twse.com.tw/nas/STR/893820230418M002.pdf
9940,http://mops.twse.com.tw/nas/STR/994020230512M001.pdf
6104,http://mops.twse.com.tw/nas/STR/610420220317M001.pdf
9933,http://mops.twse.com.tw/nas/STR/993320230509M001.pdf
1451,http://mops.twse.com.tw/nas/STR/145120221207M001.pdf
5288,http://mops.twse.com.tw/nas/STR/528820230303M001.pdf
4967,http://mops.twse.com.tw/nas/STR/496720221215M001.pdf
2379,http://mops.twse.com.tw/nas/STR/237920230517M001.pdf
3014,http://mops.twse.com.tw/nas/STR/301420230601M001.ppt
6415,http://mops.twse.com.tw/nas/STR/641520230512M001.pdf
4552,http://mops.twse.com.tw/nas/STR/455220230406M001.pptx
8924,http://mops.twse.com.tw/nas/STR/892420230316M001.pdf
3450,http://mops.twse.com.tw/nas/STR/345020221116M001.pptx
9914,NA
5345,http://mops.twse.com.tw/nas/STR/534520221222M001.pdf
4510,http://mops.twse.com.tw/nas/STR/451020221212M001.PDF
3661,http://mops.twse.com.tw/nas/STR/366120230509M001.pdf
2640,http://mops.twse.com.tw/nas/STR/264020230414M001.pdf
2348,http://mops.twse.com.tw/nas/STR/234820221130M002.pptx
8028,http://mops.twse.com.tw/nas/STR/802820221207M001.pdf
9911,http://mops.twse.com.tw/nas/STR/991120230607M001.pdf
5871,http://mops.twse.com.tw/nas/STR/587120230515M001.pdf
3260,http://mops.twse.com.tw/nas/STR/326020211022M001.pdf
4535,http://mops.twse.com.tw/nas/STR/453520220816M001.pdf
1232,http://mops.twse.com.tw/nas/STR/123220230317M001.pdf
4991,NA
1538,http://mops.twse.com.tw/nas/STR/153820221011M001.pdf
6271,http://mops.twse.com.tw/nas/STR/627120230420M001.pdf
5209,http://mops.twse.com.tw/nas/STR/520920230509M001.pdf
8081,http://mops.twse.com.tw/nas/STR/808120230510M001.pdf
5285,http://mops.twse.com.tw/nas/STR/528520230410M001.pdf
4968,http://mops.twse.com.tw/nas/STR/496820230428M001.pdf
3317,http://mops.twse.com.tw/nas/STR/331720220919M001.pdf
8040,NA
8027,http://mops.twse.com.tw/nas/STR/802720220805M001.pdf
2436,http://mops.twse.com.tw/nas/STR/243620230308M001.pdf
1584,http://mops.twse.com.tw/nas/STR/158420230411M001.pdf
2481,http://mops.twse.com.tw/nas/STR/248120230510M001.pdf
2330,http://mops.twse.com.tw/nas/STR/233020230420M001.pdf
5907,http://mops.twse.com.tw/nas/STR/590720221202M001.pdf
3171,http://mops.twse.com.tw/nas/STR/317120221117M001.pdf
1513,http://mops.twse.com.tw/nas/STR/151320230406M001.pdf
1535,http://mops.twse.com.tw/nas/STR/153520230424M001.pdf
1220,http://mops.twse.com.tw/nas/STR/122020221007M001.pptx
3675,http://mops.twse.com.tw/nas/STR/367520230523M001.pdf
1516,http://mops.twse.com.tw/nas/STR/151620221107M001.pptx
1514,http://mops.twse.com.tw/nas/STR/151420221123M001.pptx
3529,http://mops.twse.com.tw/nas/STR/352920230606M003.pdf
1558,http://mops.twse.com.tw/nas/STR/155820230421M001.pdf
6485,http://mops.twse.com.tw/nas/STR/648520221109M001.pdf
5269,http://mops.twse.com.tw/nas/STR/526920230511M001.pdf
3707,http://mops.twse.com.tw/nas/STR/370720220922M001.pdf
1210,http://mops.twse.com.tw/nas/STR/121020230530M001.pdf
9929,http://mops.twse.com.tw/nas/STR/992920221117M001.pdf
0050,NA
6139,http://mops.twse.com.tw/nas/STR/613920221223M001.pdf
2235,http://mops.twse.com.tw/nas/STR/223520210413M001.pdf
3416,http://mops.twse.com.tw/nas/STR/341620230303M001.pptx
2449,http://mops.twse.com.tw/nas/STR/244920230523M001.pdf
6533,http://mops.twse.com.tw/nas/STR/653320220713M001.pdf
2049,http://mops.twse.com.tw/nas/STR/204920230510M001.pdf
3483,http://mops.twse.com.tw/nas/STR/348320220823M001.pdf
5356,http://mops.twse.com.tw/nas/STR/535620221129M001.pdf
2395,http://mops.twse.com.tw/nas/STR/239520230510M002.pdf
8931,http://mops.twse.com.tw/nas/STR/893120230523M001.pdf
3017,http://mops.twse.com.tw/nas/STR/301720230530M001.pdf
