,景氣對策信號(燈號),景氣對策信號(分),領先指標綜合指數(點),領先指標不含趨勢指數(點),同時指標綜合指數(點),同時指標不含趨勢指數(點),落後指標綜合指數(點),落後指標不含趨勢指數(點)
,原始數值,原始數值,原始數值,原始數值,原始數值,原始數值,原始數值,原始數值
2000-01,,32,55.48,108.1,53.79,104.82,52.08,101.49
2000-02,,30,56.02,108.83,54.68,106.23,52.73,102.44
2000-03,,29,56.28,109.03,55.53,107.57,53.21,103.08
2000-04,,28,56.19,108.58,56.33,108.86,53.61,103.59
2000-05,,29,55.8,107.57,57.03,109.94,53.99,104.09
2000-06,,27,55.16,106.13,57.54,110.7,54.38,104.62
2000-07,,26,54.37,104.41,57.82,111.03,54.8,105.23
2000-08,,28,53.48,102.54,57.84,110.9,55.24,105.91
2000-09,,28,52.54,100.58,57.63,110.34,55.7,106.64
2000-10,,23,51.63,98.72,57.11,109.2,56.2,107.46
2000-11,,17,50.87,97.16,56.31,107.55,56.65,108.21
2000-12,,16,50.29,95.97,55.34,105.61,56.97,108.71
2001-01,,10,49.87,95.07,54.27,103.45,57.06,108.78
2001-02,,10,49.41,94.11,53.16,101.25,56.93,108.43
2001-03,,10,48.86,92.97,52.02,99,56.61,107.72
2001-04,,9,48.26,91.75,50.94,96.85,56.16,106.77
2001-05,,9,47.69,90.57,50,94.97,55.62,105.63
2001-06,,9,47.24,89.61,49.26,93.45,55.01,104.34
2001-07,,9,47.04,89.12,48.7,92.25,54.32,102.89
2001-08,,11,47.19,89.26,48.37,91.47,53.58,101.33
2001-09,,9,47.72,90.1,48.31,91.2,52.87,99.81
2001-10,,9,48.66,91.68,48.58,91.53,52.25,98.45
2001-11,,10,49.93,93.85,49.06,92.21,51.8,97.36
2001-12,,15,51.35,96.27,49.74,93.25,51.51,96.57
2002-01,,15,52.71,98.55,50.59,94.58,51.32,95.95
2002-02,,15,53.9,100.44,51.58,96.12,51.18,95.39
2002-03,,20,54.8,101.78,52.56,97.62,51.1,94.92
2002-04,,26,55.39,102.51,53.39,98.8,51.12,94.61
2002-05,,25,55.66,102.61,54,99.54,51.26,94.49
2002-06,,25,55.67,102.19,54.36,99.8,51.49,94.53
2002-07,,29,55.52,101.47,54.58,99.76,51.79,94.66
2002-08,,24,55.29,100.58,54.72,99.55,52.11,94.81
2002-09,,29,55.06,99.69,54.83,99.28,52.44,94.95
2002-10,,23,54.86,98.84,54.97,99.03,52.75,95.03
2002-11,,26,54.72,98.06,55.11,98.76,53.05,95.07
2002-12,,24,54.63,97.38,55.24,98.45,53.34,95.08
2003-01,,20,54.59,96.75,55.32,98.05,53.66,95.11
2003-02,,22,54.58,96.19,55.31,97.48,54.06,95.26
2003-03,,17,54.71,95.84,55.28,96.84,54.47,95.42
2003-04,,14,55.07,95.89,55.33,96.34,54.84,95.48
2003-05,,14,55.85,96.64,55.58,96.17,55.12,95.38
2003-06,,20,56.99,98,56.14,96.53,55.3,95.09
2003-07,,24,58.35,99.69,57,97.39,55.42,94.69
2003-08,,26,59.73,101.38,58.05,98.54,55.56,94.3
2003-09,,29,60.99,102.85,59.19,99.81,55.73,93.98
2003-10,,31,62.05,103.94,60.34,101.08,55.98,93.78
2003-11,,30,62.92,104.71,61.42,102.22,56.34,93.77
2003-12,,34,63.69,105.3,62.38,103.14,56.83,93.97
2004-01,,35,64.42,105.82,63.12,103.68,57.45,94.37
2004-02,,34,64.99,106.06,63.63,103.84,58.25,95.07
2004-03,,36,65.34,105.95,64,103.79,59.21,96.01
2004-04,,37,65.51,105.55,64.32,103.63,60.19,96.98
2004-05,,39,65.53,104.93,64.56,103.37,61.13,97.88
2004-06,,36,65.45,104.16,64.73,103.01,62.02,98.7
2004-07,,35,65.3,103.29,64.83,102.56,62.87,99.45
2004-08,,33,65.1,102.38,64.91,102.07,63.72,100.2
2004-09,,32,64.95,101.55,65,101.62,64.63,101.04
2004-10,,29,64.85,100.8,65.09,101.18,65.57,101.92
2004-11,,28,64.79,100.15,65.18,100.76,66.49,102.77
2004-12,,26,64.79,99.59,65.31,100.39,67.25,103.38
2005-01,,23,64.82,99.11,65.45,100.06,67.76,103.6
2005-02,,23,64.92,98.72,65.64,99.82,67.96,103.35
2005-03,,22,65.11,98.51,65.87,99.65,68,102.88
2005-04,,20,65.43,98.48,66.08,99.46,67.99,102.34
2005-05,,18,65.87,98.65,66.31,99.3,67.99,101.83
2005-06,,20,66.45,99.03,66.58,99.22,68.02,101.36
2005-07,,19,67.09,99.5,66.99,99.35,68.1,100.99
2005-08,,23,67.68,99.91,67.6,99.78,68.26,100.76
2005-09,,23,68.15,100.13,68.33,100.39,68.53,100.69
2005-10,,24,68.48,100.17,69.07,101.03,68.87,100.73
2005-11,,24,68.78,100.16,69.77,101.6,69.27,100.88
2005-12,,27,69.07,100.16,70.33,101.99,69.71,101.09
2006-01,,28,69.42,100.26,70.76,102.18,70.16,101.32
2006-02,,28,69.87,100.5,71.01,102.13,70.63,101.58
2006-03,,23,70.26,100.67,71.11,101.88,71.08,101.85
2006-04,,23,70.62,100.81,71.13,101.53,71.5,102.06
2006-05,,24,71,100.97,71.13,101.16,71.86,102.2
2006-06,,21,71.38,101.17,71.14,100.82,72.13,102.23
2006-07,,21,71.75,101.35,71.1,100.43,72.38,102.23
2006-08,,22,72.08,101.48,71.18,100.22,72.65,102.29
2006-09,,22,72.4,101.62,71.33,100.12,72.99,102.45
2006-10,,20,72.67,101.71,71.57,100.16,73.38,102.7
2006-11,,21,72.97,101.84,71.88,100.32,73.8,103
2006-12,,16,73.32,102.06,72.23,100.53,74.21,103.3
2007-01,,18,73.74,102.39,72.62,100.84,74.56,103.52
2007-02,,19,74.24,102.84,73.08,101.24,74.78,103.59
2007-03,,23,74.82,103.42,73.6,101.74,74.87,103.49
2007-04,,18,75.51,104.17,74.19,102.35,74.88,103.3
2007-05,,20,76.27,105.03,74.87,103.1,74.85,103.07
2007-06,,25,76.98,105.84,75.57,103.9,74.78,102.81
2007-07,,30,77.56,106.48,76.33,104.8,74.64,102.47
2007-08,,30,77.9,106.81,77.1,105.71,74.51,102.17
2007-09,,32,78,106.83,77.85,106.64,74.36,101.86
2007-10,,32,77.89,106.59,78.67,107.66,74.27,101.65
2007-11,,28,77.6,106.13,79.48,108.7,74.37,101.71
2007-12,,29,77.22,105.55,80.26,109.7,74.66,102.05
2008-01,,29,76.83,104.97,80.92,110.56,75.16,102.7
2008-02,,27,76.48,104.46,81.35,111.12,75.84,103.59
2008-03,,26,76.11,103.93,81.51,111.31,76.66,104.68
2008-04,,27,75.57,103.18,81.37,111.11,77.64,106.01
2008-05,,22,74.7,101.98,80.78,110.28,78.73,107.48
2008-06,,20,73.38,100.15,79.59,108.64,79.8,108.92
2008-07,,16,71.6,97.7,77.7,106.03,80.74,110.17
2008-08,,18,69.43,94.69,75.16,102.51,81.37,110.98
2008-09,,12,66.97,91.29,71.81,97.88,81.54,111.14
2008-10,,12,64.53,87.88,67.8,92.33,81.12,110.47
2008-11,,11,62.61,85.15,63.7,86.64,80.08,108.91
2008-12,,9,61.67,83.74,60.39,81.99,78.38,106.42
2009-01,,9,62.01,84.02,58.48,79.24,76.18,103.21
2009-02,,10,63.41,85.69,58.12,78.54,73.84,99.79
2009-03,,10,65.54,88.29,58.89,79.34,71.6,96.46
2009-04,,11,68.05,91.34,60.58,81.32,69.57,93.39
2009-05,,12,70.64,94.43,62.83,84,67.83,90.68
2009-06,,17,73.11,97.3,65.43,87.07,66.46,88.44
2009-07,,18,75.35,99.76,68.01,90.05,65.63,86.89
2009-08,,18,77.31,101.79,70.4,92.7,65.36,86.06
2009-09,,20,78.97,103.37,72.62,95.05,65.63,85.9
2009-10,,26,80.4,104.58,74.59,97.02,66.34,86.29
2009-11,,37,81.6,105.45,76.35,98.67,67.37,87.06
2009-12,,37,82.56,105.96,78,100.11,68.58,88.02
2010-01,,38,83.28,106.14,79.52,101.35,69.86,89.03
2010-02,,38,83.87,106.13,80.99,102.47,71.11,89.99
2010-03,,39,84.41,106.03,82.29,103.36,72.42,90.98
2010-04,,39,84.88,105.84,83.43,104.04,73.77,91.99
2010-05,,37,85.29,105.58,84.46,104.54,75.14,93.01
2010-06,,37,85.72,105.33,85.4,104.93,76.46,93.95
2010-07,,38,86.26,105.22,86.3,105.27,77.68,94.76
2010-08,,38,86.92,105.27,87.19,105.59,78.83,95.47
2010-09,,37,87.71,105.48,88.11,105.97,79.91,96.1
2010-10,,34,88.51,105.71,89.09,106.41,80.99,96.73
2010-11,,32,89.3,105.94,90.09,106.87,82.15,97.46
2010-12,,34,89.98,106.05,90.97,107.22,83.45,98.36
2011-01,,34,90.48,105.97,91.63,107.32,84.89,99.42
2011-02,,34,90.79,105.69,92.04,107.15,86.38,100.56
2011-03,,31,90.87,105.18,92.2,106.71,87.82,101.65
2011-04,,29,90.76,104.46,92.12,106.03,89.17,102.63
2011-05,,27,90.51,103.62,91.88,105.19,90.37,103.46
2011-06,,25,90.12,102.65,91.53,104.26,91.36,104.06
2011-07,,23,89.58,101.54,91.1,103.26,92.19,104.5
2011-08,,20,88.92,100.33,90.63,102.25,92.85,104.76
2011-09,,21,88.29,99.17,90.16,101.27,93.32,104.82
2011-10,,19,87.89,98.3,89.78,100.42,93.64,104.73
2011-11,,16,87.88,97.9,89.57,99.78,93.85,104.54
2011-12,,14,88.35,98.03,89.59,99.42,93.93,104.23
2012-01,,13,89.19,98.6,89.92,99.4,93.91,103.82
2012-02,,15,89.98,99.11,90.49,99.68,93.87,103.4
2012-03,,14,90.52,99.36,91.12,100.02,93.95,103.14
2012-04,,14,90.81,99.35,91.55,100.16,94.1,102.95
