"112年03月29日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","1.38","111","49.12","1.23","111/4",
"1102","亞泥","5.31","111","12.77","0.95","111/4",
"1103","嘉泥","3.44","110","-","0.57","111/4",
"1104","環泥","5.74","111","8.38","0.82","111/4",
"1108","幸福","5.76","111","14.18","1.22","111/3",
"1109","信大","4.69","111","14.57","0.75","111/4",
"1110","東泥","0.57","111","67.69","1.16","111/4",
"1201","味全","1.21","111","42.34","1.39","111/4",
"1203","味王","2.83","110","14.77","1.71","111/3",
"1210","大成","3.98","110","19.38","2.04","111/4",
"1213","大飲","0.00","110","-","1.11","111/4",
"1215","卜蜂","4.83","110","15.68","2.71","111/4",
"1216","統一","4.38","111","23.81","3.25","111/4",
"1217","愛之味","3.46","111","20.63","0.85","111/4",
"1218","泰山","3.45","110","24.37","2.03","111/3",
"1219","福壽","5.24","110","21.00","1.54","111/4",
"1220","台榮","1.24","111","61.92","1.28","111/4",
"1225","福懋油","2.72","110","34.79","3.70","111/4",
"1227","佳格","3.15","111","25.43","2.15","111/3",
"1229","聯華","3.57","111","21.29","2.21","111/4",
"1231","聯華食","2.92","111","22.90","3.88","111/4",
"1232","大統益","4.10","111","19.10","4.55","111/4",
"1233","天仁","2.46","111","60.53","2.10","111/4",
"1234","黑松","5.03","111","16.20","0.78","111/4",
"1235","興泰","5.43","110","51.85","2.38","111/3",
"1236","宏亞","4.15","111","6.15","0.89","111/4",
"1256","鮮活果汁-KY","1.96","111","27.85","3.07","111/4",
"1301","台塑","4.55","111","16.25","1.64","111/4",
"1303","南亞","3.85","111","19.26","1.65","111/4",
"1304","台聚","2.64","111","18.28","1.16","111/4",
"1305","華夏","1.15","111","-","1.61","111/4",
"1307","三芳","3.79","111","17.88","0.99","111/4",
"1308","亞聚","4.14","111","11.89","1.21","111/4",
"1309","台達化","2.35","111","20.43","1.17","111/4",
"1310","台苯","1.43","111","-","1.14","111/4",
"1312","國喬","10.08","110","-","0.56","111/4",
"1313","聯成","1.39","111","-","0.72","111/4",
"1314","中石化","4.04","110","165.17","0.47","111/4",
"1315","達新","8.44","111","9.60","0.64","111/4",
"1316","上曜","5.28","111","18.93","1.02","111/4",
"1319","東陽","5.38","111","12.77","1.16","111/4",
"1321","大洋","1.89","110","-","1.38","111/4",
"1323","永裕","3.33","111","15.94","1.22","111/4",
"1324","地球","1.78","111","187.50","0.89","111/4",
"1325","恆大","2.10","111","55.47","0.73","111/3",
"1326","台化","1.36","111","55.40","1.25","111/4",
