上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/03/29
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","47.21","1.20000000","111","2.68","1.45"
"1258","其祥-KY","10.37","0.00000000","111","0.00","1.39"
"1259","安心","18.41","2.60000000","111","3.51","1.21"
"1264","德麥","15.05","12.00000000","111","4.51","3.53"
"1268","漢來美食","44.16","3.00000000","110","2.21","3.10"
"1336","台翰","11.43","0.41000000","111","1.53","1.21"
"1565","精華","12.74","13.50000000","111","5.24","2.07"
"1569","濱川","7.86","2.00000000","111","7.87","0.87"
"1570","力肯","7.79","1.00000000","111","5.73","1.01"
"1580","新麥","10.95","6.00000000","111","5.94","2.00"
"1584","精剛","27.50","0.70000000","111","2.27","2.26"
"1586","和勤","62.55","0.25000000","111","0.75","1.74"
"1591","駿吉-KY","10.70","0.99999989","110","3.85","1.76"
"1593","祺驊","14.41","3.20000000","111","4.24","2.11"
"1595","川寶","8.10","2.00000000","111","5.09","0.70"
"1599","宏佳騰","10.23","1.50000000","111","3.90","1.39"
"1742","台蠟","3.19","0.00000000","111","0.00","0.83"
"1777","生泰","12.57","3.00000000","111","3.61","1.69"
"1781","合世","N/A","0.00000000","111","0.00","1.94"
"1784","訊聯","90.10","0.69884410","111","1.52","2.01"
"1785","光洋科","15.47","1.49056390","110","4.10","1.70"
"1788","杏昌","15.95","7.00000000","110","4.84","2.40"
"1796","金穎生技","39.47","1.50000000","111","1.68","4.45"
"1799","易威","N/A","0.00000000","111","0.00","2.92"
"1813","寶利徠","161.79","0.50000000","111","2.21","1.30"
"1815","富喬","172.86","0.89990560","110","7.44","0.72"
"2035","唐榮","N/A","0.00000000","111","0.00","1.89"
"2061","風青","N/A","0.00000000","111","0.00","2.21"
"2063","世鎧","8.93","3.00000000","111","6.84","2.24"
"2064","晉椿","16.75","1.00000000","111","5.24","1.11"
"2065","世豐","8.73","5.49786626","111","9.06","1.98"
"2066","世德","13.53","2.00000000","110","2.34","2.09"
"2067","嘉鋼","N/A","0.00000000","111","0.00","1.29"
"2070","精湛","15.95","1.50000000","111","4.05","1.50"
"2221","大甲","6.81","4.00000000","111","9.26","1.71"
"2230","泰茂","21.13","1.50000000","111","2.01","4.96"
"2235","謚源","10.09","4.00000000","111","8.64","1.22"
"2596","綠意","36.12","1.50000000","110","7.16","1.01"
"2640","大車隊","19.42","5.00000000","111","4.29","3.87"
"2641","正德","3.34","1.49661129","111","7.20","0.93"
"2643","捷迅","4.47","5.00000000","110","6.70","1.46"
"2718","晶悅","N/A","0.00000000","110","0.00","2.69"
"2719","燦星旅","N/A","0.00000000","111","0.00","6.97"
"2724","富驛-KY","N/A","0.00000000","111","0.00","3.77"
"2726","雅茗-KY","N/A","0.00000000","111","0.00","4.08"
"2729","瓦城","45.96","7.15000000","110","2.79","3.85"
"2732","六角","27.52","6.28141100","111","3.48","4.43"
"2734","易飛網","N/A","0.00000000","110","0.00","6.01"
"2736","富野","100.42","0.20000000","111","0.83","1.02"
"2740","天蔥","N/A","0.00000000","111","0.00","5.48"
"2743","山富","N/A","0.00000000","111","0.00","4.10"
"2745","五福","N/A","0.00000000","111","0.00","4.64"
"2752","豆府","25.92","10.00000000","111","3.72","6.68"
"2754","亞洲藏壽司","28.79","0.44974719","110","0.30","4.65"
"2755","揚秦","28.48","5.30000000","111","3.55","5.02"
"2756","聯發國際","20.93","4.50000000","111","3.02","5.73"
"2916","滿心","9.85","3.00000000","111","9.26","1.68"
"2924","宏太-KY","158.70","0.00000000","111","0.00","6.39"
"2926","誠品生活","N/A","0.00000000","111","0.00","4.46"
"2937","集雅社","9.20","1.30000000","111","3.72","1.58"
"2947","振宇五金","26.43","2.20000000","111","2.40","2.45"
"3064","泰偉","N/A","0.00000000","111","0.00","3.91"
"3066","李洲","8.94","0.00000000","111","0.00","1.73"
"3067","全域","N/A","0.00000000","111","0.00","2.67"
"3071","協禧","13.00","1.60000000","110","5.91","1.91"
"3078","僑威","12.99","2.35000000","111","5.78","1.64"
"3081","聯亞","37.95","3.50000000","111","2.55","2.89"
"3083","網龍","N/A","0.00000000","111","0.00","3.44"
"3085","新零售","N/A","0.00000000","111","0.00","3.64"
"3086","華義","45.58","1.20000000","111","1.60","5.34"
"3088","艾訊","11.52","3.50000000","111","4.56","1.97"
"3089","億杰","N/A","0.00000000","110","0.00","5.77"
"3093","港建*","11.48","3.00000000","111","7.92","4.23"
"3095","及成","N/A","0.00000000","111","0.00","5.80"
"3105","穩懋","42.00","2.50000000","111","1.40","2.27"
"3114","好德","8.15","1.70000000","111","6.26","1.16"
"3115","富榮綱","N/A","0.00000000","111","0.00","2.02"
"3118","進階","16.81","1.70000000","111","5.62","1.81"
"3122","笙泉","60.22","0.24000000","111","0.89","2.11"
"3128","昇銳","22.78","0.70000000","110","1.71","2.75"
"3131","弘塑","10.82","18.00000000","111","5.97","2.72"
"3141","晶宏","14.98","4.00146342","110","3.81","3.19"
"3147","大綜","9.04","4.50000000","111","7.23","2.09"
"3152","璟德","59.65","3.59000000","111","1.51","4.62"
"3162","精確","N/A","0.00000000","111","0.00","3.04"
"3163","波若威","9.37","4.20000000","111","7.47","1.91"
"3169","亞信","18.77","5.50000000","111","4.40","4.30"
"3171","新洲","9.81","1.00000000","111","5.57","1.20"
"3176","基亞","N/A","0.00000000","110","0.00","1.78"
"3178","公準","15.39","1.00000000","110","1.30","2.95"
"3188","鑫龍騰","20.98","0.30000000","111","2.34","1.02"
"3191","和進","N/A","0.00000000","111","0.00","2.33"
"3202","樺晟","N/A","0.00000000","111","0.00","1.52"
"3205","佰研","N/A","0.00000000","110","0.00","2.92"
"3206","志豐","8.68","2.20000000","111","7.04","1.42"
"3207","耀勝","16.64","1.50000000","111","2.09","4.12"
"3211","順達","15.37","6.04184000","111","7.38","1.44"
"3213","茂訊","13.26","3.60000000","111","6.98","1.25"
"3217","優群","16.03","5.40070794","111","4.95","2.52"
"3218","大學光","36.42","6.60000000","111","1.70","11.63"
"3219","倚強科","25.71","1.03000000","111","1.85","2.99"
"3221","台嘉碩","9.26","2.50000000","111","8.49","1.31"
"3224","三顧","N/A","0.00000000","111","0.00","2.63"
"3226","至寶電","10.63","2.50000000","111","4.75","2.30"
"3227","原相","14.30","6.00000000","111","5.66","1.70"
"3228","金麗科","361.32","0.00000000","110","0.00","18.02"
"3230","錦明","N/A","0.00000000","111","0.00","1.12"
"3232","昱捷","75.77","0.50000000","111","1.69","1.95"
"3234","光環","N/A","0.00000000","111","0.00","2.51"
"3236","千如","13.01","1.54000000","111","5.28","1.81"
"3252","海灣","19.68","0.50000000","110","2.70","0.47"
"3259","鑫創","N/A","0.00000000","111","0.00","2.96"
"3260","威剛","23.20","2.00000000","111","2.70","1.66"
"3264","欣銓","7.49","3.50000000","111","6.25","1.61"
"3265","台星科","8.48","5.00000000","111","8.76","1.33"
"3268","海德威","15.00","0.70000000","111","3.05","1.49"
"3272","東碩","12.22","2.90000000","111","5.68","1.35"
"3276","宇環","16.78","0.40000000","110","2.74","1.29"
"3284","太普高","32.83","0.20000000","111","1.32","1.34"
"3285","微端","N/A","0.00000000","111","0.00","1.48"
"3287","廣寰科","26.67","0.00000000","111","0.00","1.17"
"3288","點晶","118.95","0.00000000","111","0.00","3.39"
"3289","宜特","16.70","2.00000000","111","2.25","2.02"
"3290","東浦","24.83","0.50000000","110","1.72","1.85"
"3293","鈊象","14.66","35.00000000","111","6.14","7.53"
"3294","英濟","N/A","0.00000000","111","0.00","1.12"
"3297","杭特","174.09","0.00000000","111","0.00","1.19"
"3303","岱稜","9.31","2.00000000","111","7.38","1.31"
"3306","鼎天","103.20","0.50000000","111","1.94","0.89"
"3310","佳穎","26.39","3.10000000","111","4.66","2.61"
"3313","斐成","N/A","0.00000000","111","0.00","1.20"
"3317","尼克森","8.01","2.00000000","111","3.53","1.30"
"3322","建舜電","15.31","0.60000000","111","2.70","1.69"
"3323","加百裕","12.16","1.50000000","111","4.48","1.04"
"3324","雙鴻","14.71","6.50000000","111","3.01","3.34"
"3325","旭品","N/A","0.00000000","111","0.00","1.33"
"3332","幸康","9.53","2.50000000","111","5.75","1.27"
"3339","泰谷","N/A","0.00000000","111","0.00","1.19"
"3349","寶德","N/A","0.00000000","111","0.00","1.31"
"3354","律勝","N/A","0.20000000","111","1.39","1.01"
"3357","臺慶科","10.98","6.00000000","111","5.41","1.74"
"3360","尚立","43.59","0.80000000","111","5.73","1.00"
"3362","先進光","37.36","0.00000000","110","0.00","4.87"
"3363","上詮","48.30","0.50000000","111","1.95","1.36"
"3372","典範","24.80","0.50000000","111","4.12","1.00"
"3373","熱映","36.67","1.50000000","110","6.20","1.03"
"3374","精材","14.71","3.00000000","111","2.79","3.95"
"3379","彬台","57.95","0.00000000","111","0.00","1.05"
"3388","崇越電","11.73","4.41000000","111","5.97","1.21"
"3390","旭軟","11.11","0.68000000","111","3.58","1.12"
"3402","漢科","9.70","4.20000000","111","8.20","2.10"
"3426","台興","13.99","2.30000000","111","5.81","1.51"
"3430","奇鈦科","7.71","3.00000000","111","6.15","1.64"
"3434","哲固","17.44","1.60000000","111","5.46","2.38"
"3438","類比科","27.82","1.40000000","111","2.20","2.10"
"3441","聯一光","17.68","1.50000000","111","3.37","2.28"
"3444","利機","12.22","3.80000000","111","6.21","2.60"
"3455","由田","7.41","8.50000000","111","9.14","1.95"
"3465","進泰電子","27.11","2.00000000","111","2.15","4.11"
"3466","致振","N/A","0.00000000","111","0.00","1.81"
"3479","安勤","13.27","2.58057140","110","2.86","2.39"
"3483","力致","11.17","4.00000000","111","5.59","1.59"
"3484","崧騰","7.00","2.50000000","111","5.98","1.14"
"3489","森寶","37.59","0.30000000","111","2.75","0.70"
"3490","單井","12.18","1.30000000","111","5.06","1.09"
"3491","昇達科","37.14","4.00000000","110","2.41","5.34"
"3492","長盛","13.34","0.30000000","110","1.55","1.17"
"3498","陽程","N/A","2.00000000","111","5.75","0.92"
"3499","環天科","N/A","0.00000000","111","0.00","2.06"
"3508","位速","N/A","0.00000000","111","0.00","3.91"
"3511","矽瑪","11.79","2.50000000","111","6.79","1.67"
"3512","皇龍","6.22","3.00000000","111","9.71","1.42"
