sid,name,market,產業,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
1516,川飛,上市,其他,-80.38,-11.44,31.92,12.62,43.91,-36.95,22.6,-11.69,123.62,0.02,-37.18,-140.47,54.11,218.58,-347.55,-21.11,-45.62,142.11,-322.5,-223.94,137.3,25.27,-118.01,262.14,4375.09,-41.31,-28.34,61.89,-114.59,85.71,40.06,4.74,-218.46,-32.79,59.71,-20.17,15.97,-105.28,-1.1,130.47
2348,海悅,上市,其他,-26.18,-60.62,-28.32,7.06,-0.42,-4.88,-1.43,2.76,3.71,6.63,-2.81,30.03,6.67,0.86,3.83,15.06,5.04,11.78,18.01,23.16,36.02,7.67,13.29,-33.83,-0.55,-2.08,-18.02,-22.02,-6.17,-7.0,-2.96,2.13,-12.32,-10.78,-12.53,0.65,-2.51,-0.49,-1.69,-2.27
3557,嘉威,上市,其他,-3.99,3.25,1.75,4.66,-15.89,1.35,-5.17,2.47,-6.11,15.2,3.2,-4.39,0.19,2.43,-2.04,-0.73,-4.59,37.39,-15.9,-7.34,-4.67,-3.31,-12.14,8.12,-19.85,6.17,-4.35,-7.83,11.75,18.62,13.0,-11.14,8.25,5.26,-8.64,4.88,6.31,6.65,27.59,1.1
5306,桂盟,上市,其他,6.36,22.04,21.51,14.79,15.79,16.86,8.87,10.57,17.69,6.73,4.52,12.92,8.81,6.57,6.61,6.27,6.88,2.71,5.16,5.87,8.58,3.0,9.28,1.99,8.38,7.8,7.53,5.79,12.9,5.54,11.36,14.61,12.6,4.94,8.92,15.03,12.76,7.7,14.86,16.53
5871,中租-KY,上市,其他,0.69,-1.81,1.31,1.91,1.16,0.39,2.78,-0.01,1.56,-0.67,1.86,0.57,0.69,-0.19,2.65,-1.41,-0.14,-0.2,2.98,-2.15,0.1,0.89,2.53,-0.86,0.95,-0.91,1.74,0.42,3.2,0.0,-1.15,0.56,0.73,2.39,1.01,1.67,0.86,0.63,-2.2,2.84
6504,南六,上市,其他,3.96,7.15,8.02,9.98,4.75,8.57,1.99,6.2,1.37,1.97,11.84,8.28,8.37,8.03,3.14,11.41,12.64,1.7,3.84,5.51,-1.27,5.72,5.25,9.38,2.67,3.91,2.37,4.27,2.81,10.9,7.07,2.2,5.88,1.61,5.3,1.33,4.02,-2.05,1.63,2.23
9802,鈺齊-KY,上市,其他,4.51,8.09,0.26,-1.37,12.83,4.54,5.63,-4.18,19.56,-2.3,18.74,0.24,27.85,-6.04,25.62,-3.14,25.04,-7.35,20.96,-2.4,20.19,-4.59,21.17,-10.48,8.66,-4.81,31.13,3.89,12.48,1.45,18.26,-3.24,4.53,-3.89,5.18,2.31,0.95,6.04,13.87,15.66
9911,櫻花,上市,其他,20.35,-5.11,16.59,6.51,15.64,-10.58,16.06,9.31,13.09,4.81,11.89,1.92,6.07,17.43,6.98,16.21,19.32,5.15,-5.05,10.58,21.6,-2.37,7.52,9.38,16.88,9.66,21.02,15.29,19.82,2.44,20.78,17.22,19.47,1.15,2.66,12.52,16.95,-0.89,10.18,6.26
9914,美利達,上市,其他,8.34,15.25,14.01,-6.0,3.01,15.94,10.85,2.87,-0.49,7.6,12.54,-2.35,-0.27,9.3,8.39,0.11,-8.99,2.49,10.86,-2.5,-4.69,7.12,10.77,-7.88,-5.51,15.53,3.32,-4.76,-5.09,17.19,10.57,-5.67,-1.17,2.41,6.84,-3.43,3.17,1.92,5.51,-2.23
9929,秋雨,上市,其他,0.23,4.19,2.23,0.3,1.27,-4.65,-0.46,3.67,0.23,-1.25,-3.65,-2.0,5.32,-72.02,9.19,6.93,-10.5,10.3,2.09,6.0,-6.43,7.33,6.18,0.78,-1.1,2.36,4.26,6.59,6.95,-11.02,14.47,4.64,0.34,1.41,-6.99,2.42,-2.03,-0.91,2.11,4.45
9933,中鼎,上市,其他,-4.16,-1.37,-8.36,4.15,8.27,3.92,-0.38,2.49,4.05,-6.97,-2.45,-7.27,19.34,-0.17,5.04,12.1,-8.49,10.95,-4.69,11.26,-13.43,0.96,-2.82,4.35,9.31,1.13,1.45,6.12,-6.16,-9.65,1.36,8.71,18.83,-6.06,-2.48,11.39,1.1,1.8,1.13,-4.02
9940,信義,上市,其他,0.96,-28.63,7.7,19.13,-19.03,2.46,-0.12,4.95,-13.41,7.52,2.12,16.43,1.85,7.67,1.55,10.35,-4.66,3.14,-27.53,-16.46,-8.98,8.18,0.07,9.67,22.4,-0.02,4.83,2.34,-5.01,4.51,7.83,10.21,-1.59,10.65,10.66,13.04,-6.88,-1.64,-0.58,5.9
9945,潤泰新,上市,其他,-2.34,-1.93,5.21,-0.81,-0.79,-0.71,1.97,-0.41,-2.16,-1.01,2.18,4.31,-0.15,-0.86,3.45,0.85,-9.39,-2.63,2.36,21.2,0.56,-0.81,2.56,1.14,1.81,-0.09,2.3,0.99,0.1,0.18,-0.42,2.76,0.93,-1.19,2.79,6.22,2.31,-2.15,5.66,2.32
3030,德律,上市,其他電子業,17.95,2.33,25.27,58.91,-25.54,1.7,28.06,65.18,16.98,6.66,-5.52,42.45,25.33,14.24,-30.09,47.29,28.04,4.4,1.55,-3.35,4.72,-5.54,7.83,53.23,37.36,10.47,28.33,29.82,11.76,9.84,8.15,46.35,14.87,11.84,-3.44,9.61,-4.27,12.26,28.97,35.88
6139,亞翔,上市,其他電子業,0.58,-11.97,-6.91,2.81,-4.45,7.53,0.87,-6.09,-3.3,-2.56,-7.93,11.02,3.05,-4.58,-2.51,9.93,-11.15,-6.84,0.23,2.92,3.68,2.31,-7.2,21.86,-8.74,-5.74,3.67,-1.11,-6.82,2.6,1.9,1.77,-1.79,-7.07,6.57,7.81,-2.0,4.11,25.31,0.71
2302,麗正,上市,半導體業,-0.24,4.31,-2.79,-1.25,-1.87,-9.26,-2.21,1.99,2.78,3.96,28.89,47.62,12.78,-1.94,14.06,12.63,-14.22,9.72,2.74,-0.67,2.49,11.37,-7.15,-2.01,8.06,3.55,10.53,0.62,5.39,3.09,37.04,-15.75,-1.32,4.56,3.11,5.25,4.95,32.79,18.95,39.25
2303,聯電,上市,半導體業,11.46,10.27,14.87,13.07,7.43,8.66,14.26,21.35,18.38,10.72,15.48,14.21,9.83,3.76,8.9,9.26,8.18,8.58,6.74,7.16,5.18,8.39,9.85,7.67,4.98,7.31,-1.82,23.03,9.85,10.36,12.58,11.34,12.64,12.74,12.92,14.64,16.67,16.21,19.44,20.73
2330,台積電,上市,半導體業,25.11,17.76,25.66,24.75,23.67,17.46,23.19,34.19,36.03,20.48,27.78,33.27,27.27,17.57,29.07,37.31,33.66,16.05,28.48,43.51,36.32,23.06,23.88,45.89,34.39,17.19,25.93,31.58,30.47,23.42,22.44,28.47,23.29,17.06,25.42,24.33,22.27,18.46,21.82,24.29
2338,光罩,上市,半導體業,-8.41,36.95,35.16,17.99,28.75,4.33,4.35,37.93,12.33,9.3,21.72,42.69,-1.08,-9.16,32.48,-5.69,-0.13,17.11,112.23,26.61,-21.2,0.99,-17.76,14.12,2.72,4.81,8.16,11.79,13.25,-5.24,-8.58,1.11,3.4,-0.27,-17.56,3.61,-0.93,-1.4,4.14,8.47
2344,華邦電,上市,半導體業,2.59,10.98,11.95,12.01,9.09,11.04,9.19,10.16,7.77,7.07,7.23,10.3,7.77,11.87,12.46,13.63,9.47,8.52,11.35,17.78,15.1,12.43,9.46,9.78,6.08,6.52,4.63,9.51,4.36,6.27,3.91,8.18,6.08,11.34,15.26,18.88,10.37,4.3,2.78,2.07
2351,順德,上市,半導體業,6.49,5.3,2.85,4.95,7.63,5.97,4.26,10.07,1.14,5.83,5.04,20.58,4.61,7.56,6.07,13.95,-1.15,3.19,4.49,8.33,3.95,7.42,9.33,10.12,5.26,0.28,4.11,12.48,8.37,1.07,3.33,10.68,8.16,-1.98,0.38,2.96,1.44,3.28,11.2,16.01
2379,瑞昱,上市,半導體業,9.51,2.4,9.97,10.17,7.78,8.27,7.28,8.01,-0.6,0.88,2.59,10.13,9.01,4.58,1.7,3.5,2.12,2.35,2.36,5.55,6.5,8.46,3.39,6.08,4.98,8.68,3.87,9.97,0.64,6.33,10.99,11.6,5.44,10.73,7.09,6.15,14.94,8.09,5.46,-2.31
2388,威盛,上市,半導體業,-18.4,-18.66,-11.49,10.59,10.98,1.81,-2.9,-1.85,-5.05,-3.42,-3.8,-2.17,-10.81,0.78,-4.85,1.84,-11.7,-6.64,6.8,0.17,-15.18,-2.99,-4.57,-0.74,-5.41,-0.91,-1.3,-1.92,-2.71,-0.63,-2.2,2.64,-13.94,-7.0,-5.08,41.81,-3.87,5.6,2.09,1.36
2436,偉詮電,上市,半導體業,-2.19,-4.55,-1.93,16.57,5.41,3.56,-22.37,4.32,12.06,3.07,-5.86,2.22,9.97,2.68,-4.07,2.61,8.4,-1.92,-12.3,9.44,5.97,-2.6,-1.98,20.82,15.77,4.96,17.14,-17.29,1.48,-3.95,-7.46,11.02,9.96,4.17,-0.14,2.83,-8.47,-8.01,-2.61,1.83
2449,京元電子,上市,半導體業,11.61,6.59,12.77,10.74,10.19,7.63,10.2,13.62,13.5,9.41,11.91,12.63,9.54,8.19,11.16,11.87,14.96,10.18,12.52,14.62,9.07,10.25,11.39,11.77,9.25,5.96,12.84,12.04,9.34,8.77,8.86,12.26,9.18,7.98,6.41,13.24,12.41,11.82,12.88,12.21
2454,聯發科,上市,半導體業,8.22,16.81,18.78,26.27,13.03,11.91,11.28,10.05,5.44,-0.99,0.6,17.44,7.43,7.99,2.3,7.42,-0.87,-0.76,5.16,12.53,-1.19,5.05,2.73,6.77,1.29,8.64,5.1,13.57,1.39,4.51,21.32,24.31,-0.83,11.56,-2.06,10.89,12.16,10.52,9.1,35.7
