sid,name,market,產業,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
1516,川飛,上市,其他,7.43,6.57,17.82,19.25,32.34,34.0,37.61,32.35,16.03,5.27,17.06,21.18,5.96,15.72,2.72,29.46,16.99,7.95,2.19,8.77,5.91,44.77,20.15,6.27,0.53,16.44,15.18,17.67,18.22,12.29,13.94,13.96,5.35,23.79,17.02,11.22,30.29,16.96,15.34,33.23,3.57
2348,海悅,上市,其他,12.91,45.77,61.48,57.02,58.23,56.85,56.95,56.33,51.35,53.62,48.8,45.89,43.57,44.9,38.42,35.66,34.82,35.74,24.37,26.02,19.67,39.96,32.57,39.85,39.86,50.37,62.47,62.71,64.88,67.82,63.7,63.52,71.57,76.9,71.47,71.08,70.98,74.28,75.22,74.82,
3557,嘉威,上市,其他,30.28,29.92,35.86,33.28,31.66,31.86,36.83,40.37,38.08,37.88,35.07,36.75,37.89,38.43,35.37,31.18,13.12,9.03,9.65,11.72,18.9,18.71,11.63,14.01,14.79,11.26,79.94,77.35,68.82,63.1,61.38,64.48,67.23,61.32,50.65,55.08,55.67,51.45,44.78,49.97,49.64
5284,jpp-KY,上市,其他,,,,44.11,,46.33,44.16,33.6,33.53,37.77,31.2,22.28,19.73,24.97,21.89,30.56,30.43,34.1,30.22,29.03,26.01,34.37,30.42,35.64,36.5,43.75,41.42,42.83,40.86,40.6,41.57,43.06,42.72,45.04,45.1,43.43,43.42,49.64,47.41,44.03,39.81
5306,桂盟,上市,其他,37.38,33.09,31.8,42.15,30.94,43.9,41.59,35.45,33.92,54.13,57.75,42.51,42.58,47.89,53.62,50.67,48.76,51.98,54.34,52.45,49.5,52.96,52.02,50.21,47.32,50.77,49.58,47.01,45.22,48.66,44.94,39.94,37.19,43.06,43.73,42.79,41.34,40.96,41.31,39.54,
5871,中租-KY,上市,其他,84.56,85.29,84.67,84.45,84.35,85.18,85.09,84.69,84.5,85.53,85.29,85.04,84.81,86.01,85.75,85.49,84.94,85.94,85.86,82.85,82.56,83.89,84.09,84.0,83.78,84.87,84.76,85.13,85.13,85.92,82.97,83.15,82.83,83.95,83.59,83.66,83.37,84.5,82.59,82.88,82.25
6504,南六,上市,其他,65.71,56.94,55.52,55.0,53.5,54.53,51.31,52.17,52.02,53.45,50.06,50.54,46.96,51.99,48.74,49.46,50.67,58.89,57.25,57.46,55.74,61.06,62.18,62.24,62.17,66.37,67.01,67.44,66.04,68.61,64.9,60.77,59.3,67.44,66.77,66.93,65.23,66.64,66.23,66.39,65.71
8033,雷虎,上市,其他,59.72,58.98,59.53,48.57,51.87,43.7,44.31,47.57,43.27,37.18,36.59,38.94,16.43,20.52,20.58,25.32,26.44,31.73,32.04,31.54,31.01,32.41,30.89,32.64,38.66,42.0,41.1,40.57,43.1,44.31,44.78,44.98,43.15,39.05,32.72,32.77,37.09,39.78,40.06,40.39,
9802,鈺齊-KY,上市,其他,28.46,34.2,31.68,35.58,34.59,38.96,32.01,34.3,29.41,37.03,36.12,37.85,34.73,40.17,34.33,37.05,32.3,36.82,32.13,33.7,29.28,39.35,43.31,41.23,37.62,44.3,36.46,36.3,34.09,43.08,37.24,40.66,45.1,47.67,46.03,48.62,52.96,52.25,48.04,44.81,44.51
9911,櫻花,上市,其他,30.17,32.19,29.72,33.15,30.72,33.82,28.27,31.51,28.28,32.77,28.79,31.18,28.11,30.84,35.6,30.78,28.1,35.62,28.97,31.18,27.91,35.03,29.79,31.21,27.33,34.38,29.06,31.53,29.7,36.04,32.03,32.85,30.9,38.23,31.61,34.27,32.38,40.91,34.28,34.16,30.7
