sid,name,market,產業,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
1516,川飛,上市,其他,3.24,0.32,4.44,-4.93,1.22,6.29,5.81,-2.2,5.67,3.6,-2.16,-1.13,1.06,2.81,0.52,0.96,1.57,-0.55,1.12,1.44,1.73,1.97,2.27,1.16,-0.43,2.57,1.95,2.26,2.98,4.99,3.36,2.83,1.77,4.37,4.03,3.89,4.03,2.56,4.04,4.4
2348,海悅,上市,其他,-110.55,46.3,37.35,40.76,44.76,24.45,12.03,-8.87,23.66,9.04,13.45,1.04,9.21,14.1,5.2,0.35,19.91,25.51,24.42,29.09,51.07,34.86,44.09,31.53,33.9,24.48,41.25,31.58,39.38,35.6,51.8,42.78,50.56,36.12,45.52,29.92,38.89,28.36,33.1,
3557,嘉威,上市,其他,-0.39,-4.48,-34.33,-67.02,-41.71,-15.76,-4.63,-17.13,-3.22,-13.43,-17.15,-14.65,-18.0,-15.46,-17.08,-12.41,-158.48,-226.63,-439.59,-637.68,-386.18,-512.8,-316.6,-98.42,-86.89,-105.84,9.23,11.28,19.36,12.45,14.72,21.89,17.29,15.94,4.16,9.78,13.31,8.39,9.21,14.85
5306,桂盟,上市,其他,21.19,22.87,24.96,10.64,19.91,23.56,21.26,13.7,26.49,24.03,20.4,19.09,24.85,29.95,28.97,25.43,29.92,27.02,26.5,22.01,27.74,20.7,23.39,24.86,25.22,24.79,25.38,20.44,24.27,36.37,33.78,32.21,34.58,32.37,33.33,32.82,33.18,34.18,35.35,27.35
5871,中租-KY,上市,其他,28.9,30.06,26.8,21.83,25.96,24.48,25.02,25.92,27.55,21.98,24.21,23.03,25.08,20.69,23.75,23.59,28.62,29.57,33.51,31.9,36.48,35.32,36.13,35.37,35.41,34.98,35.84,34.31,38.86,40.11,41.01,39.2,44.93,47.7,46.88,46.05,46.95,45.3,43.62,35.75
6504,南六,上市,其他,10.24,11.03,11.1,11.76,12.55,11.95,10.24,10.22,11.07,14.64,12.7,12.27,10.17,12.26,11.62,11.45,9.19,11.66,11.99,12.49,9.91,12.1,13.01,11.96,7.61,10.28,12.45,13.55,12.4,22.33,25.13,24.85,7.52,4.37,1.09,1.97,-1.64,-0.34,0.63,4.62
9802,鈺齊-KY,上市,其他,4.01,4.02,4.43,2.23,5.38,7.65,4.36,4.77,7.07,-5.14,2.03,4.59,8.37,7.87,6.37,8.0,14.67,11.99,6.74,10.72,8.88,6.2,7.94,10.17,10.18,8.52,10.95,15.34,12.85,9.78,10.31,11.83,11.18,4.79,9.73,11.5,14.04,15.8,17.09,16.04
9911,櫻花,上市,其他,8.63,5.17,9.92,8.88,10.09,8.34,9.17,13.0,11.96,8.55,11.52,13.88,13.33,10.41,12.84,13.2,13.55,10.96,12.69,15.47,13.72,11.31,13.92,15.64,13.92,13.4,13.99,18.21,16.29,13.12,15.52,18.32,18.5,14.69,13.2,14.68,14.92,12.49,11.98,14.58
9914,美利達,上市,其他,8.58,13.18,12.16,7.79,9.91,10.55,9.7,9.01,10.14,12.01,9.83,8.11,9.54,8.25,6.06,3.12,5.77,4.37,4.25,4.21,4.79,4.48,5.79,5.87,5.22,6.27,6.94,5.54,6.8,8.15,7.4,5.32,4.3,6.65,6.52,4.11,6.89,8.79,10.1,
9929,秋雨,上市,其他,-39.71,-3.69,-7.05,-3.75,-6.01,-15.97,-20.71,-7.63,-8.27,-9.9,-13.55,-11.18,-5.31,-5.06,-1.73,4.43,2.47,-0.19,1.7,2.28,1.36,-3.69,0.5,5.06,-25.2,-15.39,-18.76,-46.18,-8.4,2.12,11.7,14.02,1.79,3.24,2.61,5.69,0.32,-0.61,-0.52,8.97
9933,中鼎,上市,其他,5.54,5.57,3.49,3.73,4.7,4.27,3.92,4.15,5.58,5.44,2.92,4.24,7.35,5.55,6.37,4.8,5.45,3.04,4.36,4.16,4.93,2.87,5.62,3.54,4.41,2.75,0.19,7.69,5.04,3.47,2.67,3.86,1.56,3.09,3.99,3.38,3.92,4.98,3.21,2.96
9940,信義,上市,其他,21.77,26.23,23.57,20.25,12.69,13.33,8.15,17.93,4.8,13.36,1.61,5.6,-6.26,10.71,10.44,10.43,5.66,21.86,34.28,28.04,14.24,12.84,9.8,31.9,18.75,19.43,14.1,10.75,3.03,16.65,19.53,19.8,17.29,13.91,16.53,18.38,15.5,12.14,7.45,10.07
9945,潤泰新,上市,其他,4.32,3.94,4.29,8.19,4.41,11.75,3.24,3.24,5.02,6.02,20.64,23.96,16.99,7.57,13.42,17.59,8.14,6.53,17.94,3.76,8.9,19.66,13.22,10.34,10.91,12.31,11.33,9.61,8.9,11.62,8.93,13.4,10.96,14.68,14.89,11.46,16.77,13.78,15.7,16.09
3030,德律,上市,其他電子業,15.72,22.63,28.67,15.42,11.06,21.39,27.91,17.58,30.08,25.21,26.85,6.79,17.58,23.99,14.58,11.08,19.22,18.88,26.42,17.88,25.63,28.21,25.04,23.22,28.33,28.21,27.53,25.16,27.41,33.63,30.85,21.18,28.68,30.3,27.69,24.04,35.52,32.0,27.91,32.13
6139,亞翔,上市,其他電子業,3.25,4.09,1.51,7.62,0.86,4.07,0.55,2.54,0.39,0.52,5.26,0.97,4.68,9.83,4.16,1.96,5.33,3.81,1.32,5.4,4.0,5.83,5.55,3.94,3.32,1.45,1.48,1.64,-1.01,-1.38,1.17,-2.03,-0.52,1.71,-0.53,2.69,4.38,5.25,4.82,3.86
2302,麗正,上市,半導體業,-9.01,-1.69,-12.03,12.47,-10.23,-6.78,8.23,62.06,-11.58,-2.19,7.7,-5.45,-11.84,-0.38,-7.09,-7.63,-16.46,-3.17,-2.23,0.08,-2.52,-0.71,10.39,3.39,-0.47,4.65,-3.84,-4.32,-20.62,3.03,23.99,34.09,1.59,15.98,15.94,8.5,14.9,25.42,18.05,19.29
2303,聯電,上市,半導體業,1.06,3.6,7.17,0.63,2.97,8.13,4.79,12.17,10.89,10.2,2.78,5.55,-0.05,6.62,3.89,5.94,3.66,4.44,4.32,5.19,2.05,8.19,6.18,-1.66,-4.9,4.89,6.65,4.82,8.08,13.17,15.9,12.4,16.18,22.22,27.07,29.81,35.21,39.09,40.0,34.84
2330,台積電,上市,半導體業,33.47,36.97,36.67,32.75,35.44,38.64,40.39,39.65,39.01,37.51,36.89,38.31,34.63,41.17,40.81,41.91,40.76,38.93,38.89,39.23,39.03,36.19,36.58,36.97,29.38,31.66,36.82,39.16,41.38,42.19,42.1,43.46,41.54,39.14,41.24,41.71,45.57,49.07,50.61,51.96
2338,光罩,上市,半導體業,-2.35,3.5,0.23,3.16,3.37,3.51,0.07,1.28,1.37,-24.26,-0.04,-5.12,-12.98,-7.35,-16.47,-22.09,-2.12,10.24,5.06,-10.12,11.05,7.69,12.6,4.56,3.07,10.36,4.34,-13.06,4.44,6.1,12.26,6.62,5.68,2.07,10.11,9.88,12.29,21.69,14.71,15.3
2344,華邦電,上市,半導體業,-3.38,5.89,3.68,2.41,5.95,9.18,11.2,11.82,13.03,10.73,8.6,10.47,9.97,8.45,8.23,8.69,8.87,12.25,16.72,16.92,16.68,18.23,16.17,10.35,5.99,2.04,3.69,-1.1,0.28,6.87,0.7,2.98,10.77,18.32,22.02,21.39,23.78,21.76,15.68,4.98
2351,順德,上市,半導體業,4.91,7.61,9.75,6.72,7.11,10.41,10.97,9.36,8.81,9.8,8.73,7.0,10.36,12.63,13.48,11.07,12.87,11.43,10.86,9.28,10.06,11.42,11.11,9.5,8.39,9.82,8.88,6.84,3.52,6.39,7.93,10.02,10.91,12.31,11.38,9.47,10.59,11.59,8.32,9.36
2379,瑞昱,上市,半導體業,10.0,9.53,9.87,6.37,10.78,11.2,8.44,5.59,8.52,3.7,2.94,7.46,9.17,10.97,9.5,4.71,9.31,7.46,8.4,5.67,5.9,8.51,10.58,7.66,9.32,11.02,10.42,10.73,9.1,11.35,11.47,12.01,12.82,16.65,18.49,17.09,17.82,15.14,13.56,8.13
2388,威盛,上市,半導體業,-98.4,-31.97,-12.67,-14.63,-10.72,1.86,-27.12,-40.49,-35.51,-39.55,-36.89,-33.2,-31.91,-23.93,-27.61,-22.44,-34.14,-22.87,-34.88,-28.17,-38.45,-34.11,-15.43,-18.49,-19.54,-11.48,-12.15,-14.66,-4.0,-6.42,1.39,-36.79,-31.32,-17.1,-10.77,-24.35,3.6,0.25,2.8,-7.01
2436,偉詮電,上市,半導體業,2.51,0.46,3.7,2.45,-2.3,0.1,1.32,-3.58,-0.99,0.24,0.27,2.96,5.21,3.49,4.07,0.64,4.45,3.29,6.36,5.4,4.2,4.02,9.11,10.13,0.3,5.82,2.87,0.39,2.52,7.36,4.38,4.45,2.64,12.72,14.73,18.7,17.72,14.12,0.23,-2.91
2449,京元電子,上市,半導體業,12.62,17.33,16.77,15.16,14.52,20.0,20.38,16.53,15.49,17.81,15.26,14.55,14.97,19.79,21.07,17.28,19.23,19.78,17.94,13.42,10.45,15.59,17.24,8.88,8.71,13.13,19.78,19.51,18.12,20.07,15.47,10.18,17.93,13.97,22.74,22.35,25.55,27.25,23.68,22.91
2454,聯發科,上市,半導體業,12.88,17.69,20.17,21.11,23.5,23.57,24.0,17.81,16.14,14.6,13.38,6.07,7.88,9.75,9.72,5.8,2.16,4.06,7.79,2.14,3.89,6.77,9.41,6.32,6.01,9.98,10.46,9.62,9.53,10.97,15.04,15.95,18.7,22.95,22.34,23.1,25.55,25.16,23.25,16.72
2458,義隆,上市,半導體業,22.09,25.5,17.12,19.97,18.08,20.25,19.51,16.34,17.07,11.96,11.69,10.64,8.48,9.79,16.0,10.21,14.29,17.73,21.68,17.13,16.17,18.39,22.84,21.38,18.44,20.93,24.03,23.08,23.29,27.46,29.11,29.29,28.67,33.14,33.61,27.23,27.15,26.99,18.89,0.98
