sid,name,market,產業,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
1516,川飛,上市,其他,0.56,0.08,1.09,0.55,0.66,1.1,2.71,6.78,23.22,-0.79,-0.48,-2.66,4.33,0.9,0.22,0.77,0.86,1.87,0.42,1.02,0.93,1.27,1.37,-0.37,-0.06,1.3,0.77,1.06,1.7,1.86,1.47,1.13,0.85,3.91,1.54,5.91,3.0,0.73,2.8,1.99,1.81
2348,海悅,上市,其他,-2.67,13.37,8.04,12.23,12.32,4.26,1.97,-1.66,1.94,-0.07,2.02,0.04,0.27,0.12,0.14,-0.02,1.07,2.82,2.56,4.35,6.62,4.44,7.3,4.72,2.05,6.06,4.04,5.16,3.37,4.89,5.62,6.68,4.1,2.13,1.91,2.59,1.43,0.82,0.42,1.12,
3557,嘉威,上市,其他,0.3,-1.95,-5.22,-8.13,-3.45,-3.01,-0.42,-18.5,-0.99,-1.71,-0.97,-1.75,-2.22,-2.02,-2.97,-1.64,-4.49,-2.0,-6.0,-18.05,-3.33,-0.71,-0.67,4.92,-1.58,-1.28,1.63,4.38,6.18,2.33,3.37,5.14,5.05,3.19,0.89,3.31,4.74,1.68,2.01,3.04,3.54
5284,jpp-KY,上市,其他,,,,,,2.62,2.64,2.48,2.03,3.05,4.21,2.02,2.32,2.46,2.06,2.55,1.98,3.55,2.71,1.91,1.71,2.3,1.75,0.87,1.45,0.93,0.84,0.06,1.84,0.75,0.38,0.77,1.67,1.06,1.1,0.16,1.62,1.67,2.17,1.86,3.27
5306,桂盟,上市,其他,4.72,5.25,6.03,2.76,4.44,4.49,4.21,2.8,4.85,3.0,3.1,2.11,2.66,2.35,2.88,3.0,2.95,3.07,2.95,2.6,2.9,2.11,2.0,2.36,2.42,2.27,2.69,2.49,2.19,3.84,4.56,4.26,4.68,4.33,4.56,4.59,4.26,4.31,4.84,2.34,
5871,中租-KY,上市,其他,0.83,0.88,0.81,0.89,0.82,0.84,0.91,0.77,0.74,0.72,0.71,0.67,0.63,0.72,0.72,0.66,0.79,0.79,0.92,0.85,0.94,1.06,0.95,0.9,0.9,0.96,0.89,0.88,0.81,0.79,0.86,0.81,0.87,0.92,0.89,0.86,1.02,0.92,0.89,0.75,0.82
6504,南六,上市,其他,1.65,1.96,3.02,2.63,2.17,2.44,2.21,2.52,3.0,3.1,2.54,2.61,2.2,2.62,2.83,3.48,2.45,1.94,2.17,2.42,1.46,2.46,2.36,1.81,1.37,1.06,1.81,1.69,1.5,4.11,4.52,3.93,1.05,0.25,0.18,-0.4,0.11,0.35,0.34,-0.25,0.1
8033,雷虎,上市,其他,-2.97,-1.84,-1.52,7.24,-2.72,-1.4,-3.0,-2.84,-3.76,1.42,-2.03,-6.77,0.04,-2.76,-2.25,-11.59,-2.0,-2.19,-0.88,-2.13,-0.33,1.4,0.09,-3.83,0.52,0.46,-1.38,-3.3,2.93,-0.35,-0.98,0.37,0.03,0.81,1.58,-0.54,-0.25,0.8,0.98,-0.05,
9802,鈺齊-KY,上市,其他,1.01,1.1,1.09,0.61,1.03,1.7,0.96,1.26,1.67,-1.33,0.63,0.29,1.97,2.19,1.26,2.53,3.01,2.67,1.34,1.93,1.06,2.49,2.0,1.73,1.79,2.39,3.19,2.92,2.72,1.3,1.36,1.32,2.18,0.82,2.09,2.28,2.9,4.52,5.62,2.58,2.14
9911,櫻花,上市,其他,1.6,1.55,1.92,3.86,1.81,2.03,2.38,3.16,1.92,1.02,2.54,3.19,2.96,2.7,2.64,3.36,2.79,2.15,3.1,4.69,3.23,2.46,2.98,4.58,3.12,2.27,3.05,5.49,2.4,2.23,3.39,4.82,3.86,2.66,2.91,3.63,3.6,2.32,2.89,2.98,2.51
9914,美利達,上市,其他,4.25,4.28,4.54,3.58,3.89,3.51,4.72,4.46,3.29,2.62,4.77,2.75,2.11,2.0,2.22,2.36,1.46,0.71,1.84,-0.28,0.1,2.49,2.89,2.14,2.14,2.28,3.28,2.29,1.92,4.4,5.01,3.81,3.82,2.83,3.73,4.05,3.25,2.38,2.25,0.77,
9929,秋雨,上市,其他,-6.19,-0.87,-1.46,-0.99,-0.38,-2.9,-3.25,-1.33,-0.5,-1.73,-1.89,-10.37,-8.74,18.78,-0.23,0.38,-0.66,0.01,0.5,0.41,-0.09,0.55,0.4,2.36,-2.57,-0.8,-1.71,-4.3,1.6,29.39,0.62,-3.6,0.13,0.18,0.14,-0.4,-7.54,0.58,0.91,0.22,-0.3
9933,中鼎,上市,其他,1.09,0.95,0.98,0.93,0.94,0.88,1.09,1.35,0.95,1.23,1.1,1.22,1.42,1.13,1.43,0.93,0.88,2.13,1.05,1.14,0.64,0.84,1.13,0.84,0.47,0.58,0.21,1.13,0.41,0.41,0.55,0.54,0.48,0.5,0.75,1.2,1.49,0.72,0.62,0.69,0.66
9940,信義,上市,其他,3.49,5.86,3.69,3.42,1.49,1.87,0.83,2.42,0.48,1.39,0.61,0.67,-0.28,0.98,0.92,2.45,0.3,5.2,4.67,2.16,0.8,0.95,0.69,2.86,1.4,1.31,0.61,0.83,0.13,1.12,1.82,1.97,1.45,1.52,2.18,2.05,1.47,0.99,0.62,0.71,1.56
9945,潤泰新,上市,其他,1.72,2.84,3.11,38.76,1.14,0.54,3.17,2.86,1.87,2.09,4.94,2.06,3.13,0.76,3.06,3.87,0.66,1.39,3.52,6.93,2.47,3.37,3.02,0.67,2.13,3.09,3.18,-0.72,2.13,1.06,2.41,0.39,3.9,2.3,2.45,1.11,2.18,4.3,4.55,-3.53,
2404,漢唐,上市,其他電子業,1.78,2.72,3.19,2.1,1.74,2.71,1.22,0.96,1.61,3.24,3.12,1.35,2.11,2.37,2.67,2.69,1.2,2.43,2.85,1.86,1.41,2.44,4.15,3.81,3.46,3.42,2.65,3.64,3.28,4.27,4.73,3.43,2.86,2.22,2.78,3.44,2.17,3.27,5.82,3.45,
3030,德律,上市,其他電子業,1.61,2.75,6.16,2.11,1.49,3.32,10.81,2.58,4.06,3.48,5.84,0.48,1.59,2.75,1.01,1.27,1.3,2.57,4.02,1.94,3.45,6.01,3.45,3.16,3.61,4.09,3.17,3.13,3.97,5.06,4.26,2.0,4.06,4.36,3.56,3.2,7.09,6.05,5.5,3.52,2.95
6139,亞翔,上市,其他電子業,0.46,0.66,0.15,1.26,0.12,0.72,0.12,0.56,0.01,0.19,0.91,0.22,1.12,1.24,0.46,0.73,0.84,1.12,0.28,0.98,0.62,1.04,0.72,0.68,0.49,0.21,1.46,0.33,-0.22,0.67,0.27,0.02,0.01,0.35,0.1,0.64,0.8,0.8,1.02,0.96,
