sid,name,market,產業,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
1516,川飛,上市,其他,0.6,0.09,1.24,0.67,0.9,1.65,4.22,10.42,30.19,-0.89,-0.55,-3.29,5.04,1.02,0.24,0.94,1.12,2.15,0.44,1.08,1.0,1.83,2.09,-0.43,-0.07,1.43,0.92,1.27,2.07,2.2,1.7,1.31,0.94,4.63,1.94,6.89,3.85,0.97,3.33,2.67
1516,川飛,上市,其他,0.6,0.09,1.24,0.67,0.9,1.65,4.22,10.42,30.19,-0.89,-0.55,-3.29,5.04,1.02,0.24,0.94,1.12,2.15,0.44,1.08,1.0,1.83,2.09,-0.43,-0.07,1.43,0.92,1.27,2.07,2.2,1.7,1.31,0.94,4.63,1.94,6.89,3.85,0.97,3.33,2.67
2348,海悅,上市,其他,-3.06,20.48,18.22,29.85,29.13,10.02,4.57,-3.83,4.2,-0.14,4.15,0.07,0.48,0.22,0.25,-0.03,1.65,4.36,3.67,5.81,8.58,6.38,11.46,7.43,3.41,11.09,9.53,13.79,9.34,14.55,16.34,18.35,13.04,8.31,7.35,9.01,4.95,2.99,1.67,
2348,海悅,上市,其他,-3.06,20.48,18.22,29.85,29.13,10.02,4.57,-3.83,4.2,-0.14,4.15,0.07,0.48,0.22,0.25,-0.03,1.65,4.36,3.67,5.81,8.58,6.38,11.46,7.43,3.41,11.09,9.53,13.79,9.34,14.55,16.34,18.35,13.04,8.31,7.35,9.01,4.95,2.99,1.67,
3557,嘉威,上市,其他,0.43,-2.79,-7.78,-12.45,-5.1,-4.41,-0.64,-30.03,-1.63,-2.76,-1.53,-2.74,-3.54,-3.26,-4.69,-2.47,-5.87,-2.25,-6.62,-20.19,-3.93,-0.87,-0.79,5.65,-1.85,-1.46,5.02,20.44,23.11,6.88,8.93,13.91,14.79,8.96,2.0,7.03,10.62,3.62,3.88,
3557,嘉威,上市,其他,0.43,-2.79,-7.78,-12.45,-5.1,-4.41,-0.64,-30.03,-1.63,-2.76,-1.53,-2.74,-3.54,-3.26,-4.69,-2.47,-5.87,-2.25,-6.62,-20.19,-3.93,-0.87,-0.79,5.65,-1.85,-1.46,5.02,20.44,23.11,6.88,8.93,13.91,14.79,8.96,2.0,7.03,10.62,3.62,3.88,
5306,桂盟,上市,其他,7.53,8.1,8.92,4.42,7.03,7.25,7.34,4.56,7.42,5.53,7.13,4.33,4.63,4.29,5.87,6.27,5.86,6.19,6.31,5.58,5.92,4.32,4.2,4.83,4.73,4.46,5.4,4.83,4.06,7.24,8.57,7.39,7.62,7.24,8.05,8.09,7.34,7.33,8.22,
5306,桂盟,上市,其他,7.53,8.1,8.92,4.42,7.03,7.25,7.34,4.56,7.42,5.53,7.13,4.33,4.63,4.29,5.87,6.27,5.86,6.19,6.31,5.58,5.92,4.32,4.2,4.83,4.73,4.46,5.4,4.83,4.06,7.24,8.57,7.39,7.62,7.24,8.05,8.09,7.34,7.33,8.22,
5871,中租-KY,上市,其他,5.39,5.82,5.41,5.73,5.24,5.49,6.11,5.09,4.82,4.83,4.85,4.55,4.17,4.96,5.11,4.6,5.32,5.43,6.52,5.41,5.46,6.33,5.93,5.65,5.57,6.14,5.89,5.83,5.45,5.48,5.5,4.8,5.09,5.55,5.46,5.23,6.17,5.76,5.43,4.37
5871,中租-KY,上市,其他,5.39,5.82,5.41,5.73,5.24,5.49,6.11,5.09,4.82,4.83,4.85,4.55,4.17,4.96,5.11,4.6,5.32,5.43,6.52,5.41,5.46,6.33,5.93,5.65,5.57,6.14,5.89,5.83,5.45,5.48,5.5,4.8,5.09,5.55,5.46,5.23,6.17,5.76,5.43,4.37
